toi,pl_rade,pl_orbper,pl_trandurh,pl_trandeplim
1000.01,5.8181633,2.1713484,2.0172196,0
1001.01,11.2154,1.9316462,3.166,0
1002.01,23.7529,1.8675574,1.408,0
1004.01,11.3113,3.5730141,3.37,0
1005.01,7.10841,4.5505945,2.654,0
1006.01,8.6950898,2.5047918,4.3797563,0
1007.01,14.7752,6.9989206,3.953,0
1008.01,3.19621,2.0483755,2.767,0
101.01,13.1874503,1.4303699,1.6165994,0
1010.01,5.9115908,0.6808702,2.4634563,0
1011.01,1.44656,2.4704981,2.191,0
1012.01,24.8132,0.884182,1.621,0
1015.01,42.1479417,1.3730466,2.5708515,0
1016.01,14.0608342,12.6889415,7.9201001,0
1017.01,21.0448,1.10422,2.37,0
1018.01,22.9123,4.95912,2.509,0
1019.01,24.2931408,5.2341008,3.7078139,0
102.01,15.4706,4.4119378,3.65,0
1021.01,3.34688,1.90879,1.909,0
1022.01,3.4262,3.09574,4.475,0
1023.01,21.8839,1.3214483,3.435,0
1024.01,21.644,18.0157,2.524,0
1026.01,2.4765813,14.2628757,6.9350494,0
1027.01,2.87648,3.2834565,1.537,0
1027.02,2.76586,11.02875,2.715,0
1027.03,2.52314,5.0113292,1.024,0
1028.01,1.20704,1.01606,2.843,0
103.01,14.581841,3.547854,3.494333,0
1030.01,17.6729,12.1246519,4.612,0
1031.01,8.94354,5.652623,3.434,0
1032.01,14.7738943,5.6643704,3.8087395,0
1033.01,6.77406,29.0160175,5.345,0
1034.01,3.7025342,3.6404389,2.5339234,0
1035.01,30.9493217,6.0744477,2.4954821,0
1036.01,5.98375,3.7795212,2.952,0
1037.01,6.31106,1.2025238,1.991,0
1038.01,5.51341,3.2235985,2.159,0
104.01,13.6237732,4.0872956,5.586113,0
1040.01,11.5901,2.55555,1.566,0
1041.01,43.1068,8.30792,3.228,0
1042.01,10.1273702,0.758082,1.8184632,0
1043.01,3.61078,1.4415577,2.349,0
1045.01,17.57,3.7039994,4.277,0
1046.01,9.36472,1.3042553,1.706,0
1047.01,5.72162,0.62627,0.666,0
1048.01,10.417,0.30412,0.748,0
1049.01,16.808853,2.1805277,2.969175,0
105.01,13.7028527,2.1846669,2.86528,0
1050.01,21.2315,3.7354838,4.142,0
1051.01,2.3751494,21.701669,8.2676424,0
1052.01,3.0629855,9.139804,3.0912936,0
1053.01,13.088532,5.742625,2.860293,0
1054.01,2.43432,15.5077855,4.565,0
1055.01,3.5766828,17.4713078,4.4284819,0
1056.01,3.0486928,5.3079507,3.2158594,0
1057.01,2.9366826,51.1701501,6.6641048,0
1058.01,12.8402271,11.1296441,7.0473822,0
1059.01,17.0216,9.4496506,2.021,0
106.01,16.3869,2.8493825,3.567,0
1060.01,3.89739,2.0685633,0.373,0
1061.01,2.28501,0.540933,1.674337,0
1062.01,2.30057,4.1150576,1.08,0
1063.01,2.7272824,10.0665238,2.4023189,0
1064.01,2.460344,6.4438657,1.9309449,0
1064.02,2.6014766,12.2265595,2.1904379,0
1065.01,22.503541,2.160344,1.828854,0
1066.01,12.962219,4.606184,3.121643,0
1067.01,9.4995191,3.1316735,2.4579197,0
1068.01,13.446487,3.180362,2.111521,0
1069.01,14.4339,2.9776446,2.962,0
107.01,20.5357,3.9502008,4.444,0
1070.01,26.88423,2.9776152,3.25697,0
1071.01,13.200677,3.5544026,2.0550535,0
1072.01,25.4886382,12.8379689,9.8464123,0
1073.01,13.3368705,3.9228016,1.8736007,0
1074.01,2.4233421,13.9428705,3.7522756,0
1075.01,1.8625587,0.6047392,1.0403847,0
1076.01,12.9171288,2.5495611,2.6173308,0
1077.01,12.6436029,1.6062693,1.9561305,0
1078.01,1.3485121,0.5182425,0.8565249,0
1079.01,14.8814743,3.1644075,2.0576293,0
108.01,12.1086799,3.0440541,2.5984575,0
1080.01,1.2305102,3.9652485,1.0112593,0
1081.01,11.467011,2.98278,3.109528,0
1082.01,3.5059571,16.3469053,3.5865698,0
1083.01,2.4241912,12.9802953,2.5034417,0
1084.01,15.8824638,1.3484961,2.4074261,0
1085.01,14.9476,3.2541181,4.341,0
1086.01,14.6986197,3.7178828,5.5277827,0
1087.01,14.2968,9.30992,3.464,0
1088.01,5.48364,1.15395,2.236,0
1089.01,25.7144,4.73703,3.902,0
109.01,12.2867389,2.76676,2.6872178,0
1090.01,22.7769,2.19296,4.586,0
1091.01,15.0024,1.725841,3.674,0
1092.01,30.666,1.1923,3.119,0
1094.01,9.08382,0.5971314,0.468,0
1095.01,13.7339261,1.4821386,2.1867078,0
1096.01,5.7349089,0.9209526,1.8602735,0
1097.01,2.16591,9.188506,2.492,0
1097.02,2.6136848,13.9028391,2.1264429,0
1098.01,3.0538057,10.1826983,2.8275109,0
1099.01,2.56374,6.441006,1.812,0
110.01,14.9172256,3.1743504,2.751086,0
1100.01,4.0506906,20.0731588,3.8449215,0
1101.01,9.36823,2.66903,1.548,0
1102.01,2.75375,6.63371,2.122,0
1103.01,45.3525,2.94308,4.073,0
1104.01,4.7531892,341.2811281,6.303026,0
1105.01,2.90726,10.8680523,2.375,0
1106.01,14.7645,11.1149,2.26,0
1107.01,13.898174,4.0782392,4.8475616,0
1108.01,22.1531,7.14386,1.467,0
1109.01,8.46404,7.04083,2.979,0
111.01,13.086872,2.1061569,1.4688934,0
1110.01,11.1276,2.4545635,2.321,0
1111.01,14.1098,11.4756978,0.808,0
1112.01,4.92567,2.78186,2.456,0
1113.01,4.59203,6.4410082,1.798,0
1115.01,15.8858,4.45199,2.109,0
1116.01,2.3107394,5.0100708,2.0644756,0
1117.01,2.56778,2.2281625,2.015,0
1119.01,23.9726,10.95663,3.588,0
112.01,13.8516093,2.4997996,2.865171,0
1120.01,13.3343,1.66226,3.321,0
1122.01,4.3503,3.6245513,3.042,0
1123.01,15.1764,1.20928,1.886,0
1124.01,14.0061,3.5187707,2.408,0
1125.01,4.1624907,0.7724825,1.3744974,0
1126.01,2.36498,1.6268695,3.231,0
1128.01,6.24633,13.5499,1.795,0
1129.01,19.9664,4.43651,3.365,0
113.01,14.201803,3.372877,2.63426,0
1130.01,11.1424,8.34998,1.836,0
1130.02,3.7548333,4.0686405,1.8373729,0
1131.01,4.906408,0.5860366,0.8098934,0
1132.01,3.34528,1.5502952,2.938,0
1133.01,4.86242,1.80709,3.297,0
1134.01,18.1458,18.6922101,7.765,0
1135.01,9.06883,8.0277326,4.284,0
1136.01,5.58857,12.5187279,5.38,0
1136.02,2.51593,6.2586065,3.201,0
1136.03,2.71349,26.3208756,4.414,0
1136.04,2.1597669,18.795547,4.3425576,0
1137.01,34.7561624,1.3206356,1.6000996,0
1138.01,6.23181,0.64971,2.076,0
1139.01,11.3678,4.4780798,4.513,0
114.01,10.5135877,3.2887898,3.4367717,0
1140.01,12.05,13.7431084,2.285,0
1141.01,45.2204505,16.9487087,4.2887767,0
1142.01,42.2321,3.3686634,3.012,0
